类型,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
高钾,69.33,0.0,9.99,6.32,0.87,3.93,1.74,3.87,0.0,0.0,1.17,0.0,0.0,0.39
高钾,87.05,0.0,5.19,2.01,0.0,4.06,0.0,0.78,0.25,0.0,0.66,0.0,0.0,0.0
高钾,61.71,0.0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0.0,0.0
高钾,65.88,0.0,9.67,7.12,1.56,6.44,2.06,2.18,0.0,0.0,0.79,0.0,0.0,0.36
高钾,61.58,0.0,10.95,7.35,1.77,7.5,2.62,3.27,0.0,0.0,0.94,0.06,0.0,0.47
高钾,67.65,0.0,7.37,0.0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0.0,0.0
高钾,59.81,0.0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0.0,0.0
高钾,92.63,0.0,0.0,1.07,0.0,1.98,0.17,3.24,0.0,0.0,0.61,0.0,0.0,0.0
高钾,95.02,0.0,0.59,0.62,0.0,1.32,0.32,1.55,0.0,0.0,0.35,0.0,0.0,0.0
高钾,96.77,0.0,0.92,0.21,0.0,0.81,0.26,0.84,0.0,0.0,0.0,0.0,0.0,0.0
高钾,94.29,0.0,1.01,0.72,0.0,1.46,0.29,1.65,0.0,0.0,0.15,0.0,0.0,0.0
高钾,59.01,2.86,12.53,8.7,0.0,6.16,2.88,4.73,0.0,0.0,1.27,0.0,0.0,0.0
高钾,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0
高钾,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,0.0,0.04,0.0,0.0
高钾,79.46,0.0,9.42,0.0,1.53,3.05,0.0,0.0,0.0,0.0,1.36,0.07,2.36,0.0
高钾,76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0
高钾,92.35,0.0,0.74,1.66,0.64,3.5,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0
高钾,92.72,0.0,0.0,0.94,0.54,2.51,0.2,1.54,0.0,0.0,0.36,0.0,0.0,0.0
